slug,display_name,image_mode,image_url,image_credit,image_license,image_source_page,notes
guanlong,Guanlong,silhouette,,,,,
hadrosaurichnus,Hadrosaurichnus,silhouette,,,,,
hadrosaurus,Hadrosaurus,silhouette,,,,,
haestasaurus,Haestasaurus,silhouette,,,,,
hagryphus,Hagryphus,silhouette,,,,,
hanssuesia,Hanssuesia,silhouette,,,,,
haplocanthosaurus,Haplocanthosaurus,silhouette,,,,,
haplocheirus,Haplocheirus,silhouette,,,,,
harpymimus,Harpymimus,silhouette,,,,,
haya,Haya,silhouette,,,,,
helioceratops,Helioceratops,silhouette,,,,,
herrerasaurus,Herrerasaurus,silhouette,,,,,
hesperonychus,Hesperonychus,silhouette,,,,,
heterodontosaurus,Heterodontosaurus,silhouette,,,,,
hexing,Hexing,silhouette,,,,,
hexinlusaurus,Hexinlusaurus,silhouette,,,,,
heyuannia,Heyuannia,silhouette,,,,,
hippodraco,Hippodraco,silhouette,,,,,
histriasaurus,Histriasaurus,silhouette,,,,,
homalocephale,Homalocephale,silhouette,,,,,
hopiichnus,Hopiichnus,silhouette,,,,,
hoplitosaurus,Hoplitosaurus,silhouette,,,,,
huabeisaurus,Huabeisaurus,silhouette,,,,,
hualianceratops,Hualianceratops,silhouette,,,,,
huanansaurus,Huanansaurus,silhouette,,,,,
huanghetitan,Huanghetitan,silhouette,,,,,
huangshanlong,Huangshanlong,silhouette,,,,,
huaxiagnathus,Huaxiagnathus,silhouette,,,,,
huaxiaosaurus,Huaxiaosaurus,silhouette,,,,,
huayangosaurus,Huayangosaurus,silhouette,,,,,
hudiesaurus,Hudiesaurus,silhouette,,,,,
huehuecanauhtlus,Huehuecanauhtlus,silhouette,,,,,
hulsanpes,Hulsanpes,silhouette,,,,,
hunanpus,Hunanpus,silhouette,,,,,
hungarosaurus,Hungarosaurus,silhouette,,,,,
hylaeosaurus,Hylaeosaurus,silhouette,,,,,
hypacrosaurus,Hypacrosaurus,silhouette,,,,,
hypselosaurus,Hypselosaurus,silhouette,,,,,
hypselospinus,Hypselospinus,silhouette,,,,,
hypsiloichnus,Hypsiloichnus,silhouette,,,,,
hypsilophodon,Hypsilophodon,silhouette,,,,,
ichthyovenator,Ichthyovenator,silhouette,,,,,
ignavusaurus,Ignavusaurus,silhouette,,,,,
ignotornis,Ignotornis,silhouette,,,,,
iguanacolossus,Iguanacolossus,silhouette,,,,,
iguanodon,Iguanodon,silhouette,,,,,
ilokelesia,Ilokelesia,silhouette,,,,,
incisivosaurus,Incisivosaurus,silhouette,,,,,
indosaurus,Indosaurus,silhouette,,,,,
indosuchus,Indosuchus,silhouette,,,,,
ingenia,Ingenia,silhouette,,,,,
iranosauripus,Iranosauripus,silhouette,,,,,
irenesauripus,Irenesauripus,silhouette,,,,,
irenichnites,Irenichnites,silhouette,,,,,
irritator,Irritator,silhouette,,,,,
isaberrysaura,Isaberrysaura,silhouette,,,,,
isanosaurus,Isanosaurus,silhouette,,,,,
ischioceratops,Ischioceratops,silhouette,,,,,
isisaurus,Isisaurus,silhouette,,,,,
itemirus,Itemirus,silhouette,,,,,
itsukisauropus,Itsukisauropus,silhouette,,,,,
jainosaurus,Jainosaurus,silhouette,,,,,
jaklapallisaurus,Jaklapallisaurus,silhouette,,,,,
janenschia,Janenschia,silhouette,,,,,
jaxartosaurus,Jaxartosaurus,silhouette,,,,,
jeholosaurus,Jeholosaurus,silhouette,,,,,
jeyawati,Jeyawati,silhouette,,,,,
jialingpus,Jialingpus,silhouette,,,,,
jianchangosaurus,Jianchangosaurus,silhouette,,,,,
jiangjunosaurus,Jiangjunosaurus,silhouette,,,,,
jiangshanosaurus,Jiangshanosaurus,silhouette,,,,,
jiangxisaurus,Jiangxisaurus,silhouette,,,,,
jiayinosauropus,Jiayinosauropus,silhouette,,,,,
jinfengopteryx,Jinfengopteryx,silhouette,,,,,
jingshanosaurus,Jingshanosaurus,silhouette,,,,,
jinlijingpus,Jinlijingpus,silhouette,,,,,
jintasaurus,Jintasaurus,silhouette,,,,,
jinzhousaurus,Jinzhousaurus,silhouette,,,,,
jobaria,Jobaria,silhouette,,,,,
judiceratops,Judiceratops,silhouette,,,,,
juratyrant,Juratyrant,silhouette,,,,,
juravenator,Juravenator,silhouette,,,,,
kaatedocus,Kaatedocus,silhouette,,,,,
kainomoyenisauropus,Kainomoyenisauropus,silhouette,,,,,
kalohipus,Kalohipus,silhouette,,,,,
kangnasaurus,Kangnasaurus,silhouette,,,,,
karongasaurus,Karongasaurus,silhouette,,,,,
katepensaurus,Katepensaurus,silhouette,,,,,
kayentavenator,Kayentavenator,silhouette,,,,,
kazaklambia,Kazaklambia,silhouette,,,,,
