occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
900938,Troodon,carnivorous,small theropod,2.0,70.6,66.0,Wyoming,-104.637001,43.116329,Saurischia,Troodontidae,troodon,troodon-900938,carnivorous,1.0,theropod,4.599999999999994,68.3,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,troodon,silhouette,,,,0.044862518089725044
900939,Pectinodon,,,,70.6,66.0,Montana,-107.133301,47.549999,Saurischia,Troodontidae,pectinodon,pectinodon-900939,unknown,0.4,unknown,4.599999999999994,68.3,True,False,False,Montana,N,W,0.5,0.5,0.5,2,pectinodon,silhouette,,,,
901632,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Montana,-108.947662,47.772209,Saurischia,Tyrannosauridae,gorgosaurus,gorgosaurus-901632,carnivorous,1.0,theropod,12.900000000000006,77.05,True,True,True,Montana,N,W,1.0,0.55,0.9,4,gorgosaurus,silhouette,,,,0.23589001447178007
902093,Xixiasaurus,,,,89.8,72.1,Henan,111.66555,33.384434,Saurischia,Troodontidae,xixiasaurus,xixiasaurus-902093,unknown,0.4,unknown,17.700000000000003,80.94999999999999,True,False,False,Henan,N,E,0.5,0.5,0.5,2,xixiasaurus,silhouette,,,,
902174,Chuxiongosaurus,,,,201.3,190.8,Yunnan,102.146523,24.956287,Saurischia,,chuxiongosaurus,chuxiongosaurus-902174,unknown,0.4,unknown,10.5,196.05,True,False,False,Yunnan,N,E,0.5,0.5,0.5,1,chuxiongosaurus,silhouette,,,,
907500,Murusraptor,,,,83.5,70.6,Neuquén,-68.84111,-38.840832,Saurischia,Megaraptoridae,murusraptor,murusraptor-907500,unknown,0.4,unknown,12.900000000000006,77.05,True,False,False,Neuquén,S,W,0.5,0.5,0.5,2,murusraptor,silhouette,,,,
907846,Richardoestesia,carnivorous,small theropod,1.5,100.5,93.9,Texas,-97.065201,32.844303,Saurischia,Dromaeosauridae,richardoestesia,richardoestesia-907846,carnivorous,1.0,theropod,6.599999999999994,97.2,True,True,True,Texas,N,W,1.0,0.55,0.9,4,richardoestesia,silhouette,,,,0.03039073806078148
908398,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Wyoming,-107.893501,44.6586,Saurischia,Dromaeosauridae,deinonychus,deinonychus-908398,carnivorous,1.0,theropod,24.5,112.75,True,True,True,Wyoming,N,W,1.0,0.55,0.9,4,deinonychus,silhouette,,,,0.07380607814761216
908663,Eodromaeus,,,,237.0,228.0,San Juan,-67.936386,-30.067778,Saurischia,,eodromaeus,eodromaeus-908663,unknown,0.4,unknown,9.0,232.5,True,False,False,San Juan,S,W,0.5,0.5,0.5,1,eodromaeus,silhouette,,,,
909112,Majungasaurus,carnivorous,large theropod,6.0,72.1,66.0,Mahajanga,46.568302,-15.877118,Saurischia,Abelisauridae,majungasaurus,majungasaurus-909112,carnivorous,1.0,theropod,6.099999999999994,69.05,True,True,True,Mahajanga,S,E,1.0,0.55,0.9,4,majungasaurus,silhouette,,,,0.16063675832127353
