name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Sarahsaurus,sarahsaurus,Sarahsaurus,2,466196,unknown,,unknown,,199.3,182.7,191.0,16.600000000000023,Saurischia,,Arizona,35.7197225,-111.18637100000001,1,True,False,False,1,0.5,0.5,0.5,sarahsaurus,0.4,,sarahsaurus,silhouette,,,
Sarcolestes,sarcolestes,Sarcolestes,2,478016,unknown,,unknown,,164.7,161.2,162.95,3.5,Ornithischia,,England,52.443535,-42.1208505,1,True,False,False,1,0.5,0.5,0.5,sarcolestes,0.4,,sarcolestes,silhouette,,,
Sarcosaurus,sarcosaurus,Sarcosaurus,2,662962,carnivorous,small theropod,theropod,3.0,196.5,189.6,193.05,6.900000000000006,Saurischia,,England,52.483351,-1.4492,1,True,True,True,3,1.0,0.55,0.9,sarcosaurus,1.0,0.07380607814761216,sarcosaurus,silhouette,,,
Sarmientichnus,sarmientichnus,Sarmientichnus,1,790506,unknown,,unknown,,166.1,157.3,161.7,8.799999999999983,Saurischia,,Santa Cruz,-47.583332,-68.116669,1,True,False,False,1,0.5,0.5,0.5,sarmientichnus,0.4,,sarmientichnus,silhouette,,,
Sarmientosaurus,sarmientosaurus,Sarmientosaurus,1,1326608,unknown,,unknown,,100.5,89.8,95.15,10.700000000000003,Saurischia,,Chubut,-44.76667,-69.183334,1,True,False,False,1,0.5,0.5,0.5,sarmientosaurus,0.4,,sarmientosaurus,silhouette,,,
Satapliasaurus,satapliasaurus,Satapliasaurus,2,567919,unknown,,unknown,,175.6,130.0,155.55,9.5,Saurischia,,England,48.3577955,21.067357,2,True,False,False,1,0.5,0.5,0.5,satapliasaurus,0.4,,satapliasaurus,silhouette,,,
Saturnalia,saturnalia,Saturnalia,3,261854,unknown,,unknown,,237.0,208.5,222.75,28.5,Saurischia,,Rio Grande do Sul,-29.666668,-53.75,2,True,False,False,1,0.5,0.5,0.5,saturnalia,0.4,,saturnalia,silhouette,,,
Saurexallopus,saurexallopus,Saurexallopus,5,497888,unknown,,unknown,,83.5,66.0,69.05,6.099999999999994,Saurischia,,Wyoming,43.964169,-110.410835,3,True,False,False,1,0.5,0.5,0.5,saurexallopus,0.4,,saurexallopus,silhouette,,,
Saurichnium,saurichnium,Saurichnium,1,1284647,unknown,,unknown,,201.3,174.1,187.7,27.200000000000017,Saurischia,,Otjozondjupa,-21.420189,16.653521,1,True,False,False,1,0.5,0.5,0.5,saurichnium,0.4,,saurichnium,silhouette,,,
Saurischichnus,saurischichnus,Saurischichnus,1,811738,unknown,,unknown,,228.0,208.5,218.25,19.5,Saurischia,,Baden-Württemberg,48.533329,9.08333,1,True,False,False,1,0.5,0.5,0.5,saurischichnus,0.4,,saurischichnus,silhouette,,,
Saurolophus,saurolophus,Saurolophus,20,387401,herbivorous,ornithopod,ornithopod,9.0,100.5,66.0,74.75,12.900000000000006,Ornithischia,Hadrosauridae,Omnogov,43.599861,100.0750005,4,True,True,True,4,0.35,0.6,0.75,saurolophus,0.2,0.2474674384949349,saurolophus,silhouette,,,
Sauroniops,sauroniops,Sauroniops,1,1080706,unknown,,unknown,,100.5,93.9,97.2,6.599999999999994,Saurischia,Carcharodontosauridae,Meknès-Tafilalet,30.883333,-3.966667,1,True,False,False,2,0.5,0.5,0.5,sauroniops,0.4,,sauroniops,silhouette,,,
Sauropelta,sauropelta,Sauropelta,29,491338,herbivorous,armored dinosaur,armored,6.5,125.0,100.5,106.75,12.5,Ornithischia,Nodosauridae,Montana,45.3559,-108.237701,3,True,True,True,4,0.35,1.0,0.3,sauropelta,0.2,0.17510853835021709,sauropelta,silhouette,,,
Saurophaganax,saurophaganax,Saurophaganax,1,1364692,carnivorous,large theropod,theropod,12.0,155.7,145.0,150.35,10.699999999999989,Saurischia,Allosauridae,Oklahoma,36.897499,-102.824997,1,True,True,True,4,1.0,0.55,0.9,saurophaganax,1.0,0.33429811866859627,saurophaganax,silhouette,,,
Sauroposeidon,sauroposeidon,Sauroposeidon,4,247238,unknown,,unknown,,125.0,100.5,109.75,12.5,Saurischia,,Wyoming,39.689100499999995,-103.059952,3,True,False,False,1,0.5,0.5,0.5,sauroposeidon,0.4,,sauroposeidon,silhouette,,,
Sauropus,sauropus,Sauropus,6,520165,unknown,,unknown,,228.0,190.8,196.05,10.5,Saurischia,Sauropodidae,Massachusetts,42.607969,-72.54638299999999,2,True,False,False,2,0.5,0.5,0.5,sauropus,0.4,,sauropus,silhouette,,,
